Accident_Index,Date,Time,Road_Class,Road_Type,Speed_limit,Junction_Detail,Light_Conditions,Weather_Conditions,Road_Surface_Conditions
A201201BS70001,2012-01-19,20:35:00,3,6,30,6,4,1,1
A201201BS70002,2012-01-04,17:00:00,4,6,30,3,4,1,1
A201201BS70003,2012-01-10,10:07:00,3,2,30,6,1,1,1
A201201BS70006,2012-01-19,07:30:00,3,6,30,6,4,2,2
A201201BS70010,2012-01-07,13:55:00,6,2,30,3,1,1,1
A201201BS70011,2012-01-04,19:40:00,5,6,30,3,4,2,2
A201201BS70013,2012-01-01,05:05:00,3,6,30,6,4,1,2
A201201BS70018,2012-01-04,20:40:00,6,6,30,3,4,2,2
A201201BS70019,2012-01-07,23:00:00,3,6,30,6,4,1,1
A201201BS70022,2012-01-12,16:02:00,3,6,30,6,1,1,1
A201201BS70024,2012-01-09,08:37:00,3,6,30,8,1,1,1
A201201BS70025,2012-01-16,19:03:00,5,6,30,3,4,1,1
A201201BS70026,2012-01-17,09:01:00,4,6,30,0,1,1,1
A201201BS70027,2012-01-06,12:20:00,3,6,30,3,1,1,1
A201201BS70035,2012-01-18,06:40:00,3,6,30,3,4,2,2
A201201BS70039,2012-01-29,16:00:00,6,6,30,3,1,1,1
A201201BS70044,2012-02-02,14:39:00,5,6,30,6,1,1,1
A201201BS70045,2012-02-03,10:28:00,5,6,30,3,1,1,1
A201201BS70046,2012-01-31,19:25:00,5,6,30,3,4,1,1
A201201BS70048,2012-02-03,17:45:00,6,6,30,0,4,1,1
A201201BS70052,2012-02-01,09:00:00,3,6,30,3,1,1,1
A201201BS70053,2012-02-04,10:40:00,4,6,30,6,1,1,1
A201201BS70054,2012-01-31,15:45:00,3,6,30,3,1,1,1
A201201BS70056,2012-01-30,15:00:00,3,6,30,6,1,1,1
A201201BS70057,2012-01-29,15:00:00,3,6,30,0,1,1,1
A201201BS70058,2012-02-03,22:20:00,5,6,30,3,4,8,4
A201201BS70059,2012-02-09,10:25:00,3,6,30,3,1,1,1
A201201BS70064,2012-01-29,19:25:00,3,6,30,8,4,1,1
A201201BS70065,2012-02-07,18:40:00,3,2,30,7,4,8,1
A201201BS70066,2012-02-09,14:40:00,3,6,30,6,1,1,1
A201201BS70067,2012-01-21,09:45:00,3,6,30,0,1,1,1
A201201BS70068,2012-02-11,15:20:00,3,3,30,6,1,1,1
A201201BS70069,2012-02-10,11:45:00,3,6,30,3,1,1,1
A201201BS70070,2012-02-11,19:55:00,3,6,30,0,4,1,1
A201201BS70071,2012-02-08,06:14:00,3,6,30,6,1,8,2
A201201BS70072,2012-02-07,19:25:00,3,6,30,6,4,1,1
A201201BS70078,2012-02-16,12:36:00,3,3,30,3,1,1,1
A201201BS70079,2012-02-16,16:30:00,3,6,30,3,1,1,1
