Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Casualty_Severity,Car_Passenger
A201201BS70001,2,1,1,1,44,3,0
A201201BS70002,2,1,1,1,19,3,0
A201201BS70003,2,1,1,1,43,3,0
A201201BS70006,1,1,1,1,66,3,0
A201201BS70010,1,1,1,1,47,3,0
A201201BS70011,1,1,1,1,22,3,0
A201201BS70013,1,1,1,1,40,3,0
A201201BS70013,2,2,2,2,-1,3,1
A201201BS70018,1,1,1,1,36,3,0
A201201BS70019,1,1,1,1,21,3,0
A201201BS70019,1,2,2,2,22,3,1
A201201BS70022,1,1,1,1,50,3,0
A201201BS70022,2,2,1,1,26,3,0
A201201BS70024,1,1,1,1,33,3,0
A201201BS70024,2,2,1,1,20,3,0
A201201BS70025,2,1,1,1,34,3,0
A201201BS70026,2,1,1,1,9,3,0
A201201BS70027,1,1,1,1,31,2,0
A201201BS70035,1,1,1,1,30,3,0
A201201BS70039,1,1,1,2,36,3,0
A201201BS70044,1,1,1,1,46,3,0
A201201BS70045,2,1,1,1,43,3,0
A201201BS70046,2,1,1,1,25,3,0
A201201BS70048,1,1,1,1,47,3,0
A201201BS70052,2,1,1,1,26,3,0
A201201BS70053,2,1,1,2,40,3,0
A201201BS70054,1,1,1,1,32,3,0
A201201BS70054,2,2,1,1,20,3,0
A201201BS70056,1,1,1,1,31,3,0
A201201BS70057,1,1,1,2,41,3,0
A201201BS70058,2,1,1,1,25,3,0
A201201BS70059,2,1,1,1,52,3,0
A201201BS70064,2,1,1,1,23,3,0
A201201BS70065,1,1,1,1,32,3,0
A201201BS70066,2,1,1,1,21,3,0
A201201BS70067,1,1,1,1,24,3,0
A201201BS70068,1,1,1,1,42,3,0
A201201BS70068,2,2,1,1,44,3,0
A201201BS70069,1,1,1,1,19,3,0
A201201BS70070,1,1,2,2,-1,2,1
A201201BS70071,2,1,1,1,30,3,0
A201201BS70072,1,1,1,1,34,3,0
A201201BS70078,2,1,1,1,31,3,0
A201201BS70079,2,1,1,1,45,3,0
A201201BS70083,1,1,1,1,48,3,0
A201201BS70084,1,1,1,1,27,3,0
A201201BS70085,2,1,1,2,28,3,0
A201201BS70086,1,1,2,2,32,3,2
A201201BS70087,2,1,1,1,48,3,0
A201201BS70088,1,1,1,1,40,3,0
A201201BS70088,1,2,2,1,23,3,1
A201201BS70089,2,1,1,2,37,3,0
A201201BS70090,2,1,1,1,31,3,0
A201201BS70091,2,1,1,2,30,3,0
A201201BS70093,1,1,1,1,56,3,0
A201201BS70093,1,2,2,1,40,3,2
A201201BS70093,2,3,1,1,63,3,0
A201201BS70094,1,1,1,2,-1,3,0
A201201BS70097,1,1,1,1,52,3,0
A201201BS70098,2,1,1,1,28,3,0
A201201BS70101,1,1,1,2,28,3,0
A201201BS70105,1,1,1,2,26,3,0
A201201BS70106,2,1,1,1,46,3,0
A201201BS70109,2,1,1,1,29,3,0
A201201BS70112,1,1,3,1,55,3,0
A201201BS70113,2,1,1,1,47,2,0
A201201BS70114,1,1,1,1,34,3,0
A201201BS70115,1,1,1,2,42,3,0
A201201BS70115,1,2,2,1,60,3,1
A201201BS70117,2,1,1,2,36,3,0
A201201BS70118,2,1,1,1,27,3,0
A201201BS70119,2,1,1,1,37,3,0
A201201BS70126,2,1,2,2,53,3,1
A201201BS70128,2,1,1,1,47,3,0
A201201BS70132,1,1,1,1,26,3,0
A201201BS70134,2,1,1,1,29,3,0
A201201BS70136,2,1,1,1,22,3,0
A201201BS70137,1,1,1,1,38,2,0
A201201BS70138,1,1,1,1,48,3,0
A201201BS70140,2,1,1,1,51,3,0
A201201BS70141,2,1,1,1,23,3,0
A201201BS70142,2,1,1,1,17,3,0
A201201BS70147,1,1,1,1,42,3,0
A201201BS70148,1,1,1,1,27,3,0
A201201BS70150,1,1,3,1,30,3,0
A201201BS70151,1,1,1,1,37,3,0
A201201BS70155,1,1,1,1,17,3,0
A201201BS70156,2,1,1,1,20,3,0
A201201BS70157,1,1,1,1,55,3,0
A201201BS70159,2,1,1,1,29,3,0
A201201BS70161,1,1,1,2,38,3,0
A201201BS70162,1,1,1,1,40,3,0
A201201BS70163,1,1,1,1,20,3,0
A201201BS70165,2,1,1,1,43,3,0
A201201BS70166,2,1,1,1,29,3,0
A201201BS70168,1,1,1,1,37,3,0
A201201BS70169,2,1,1,1,24,3,0
A201201BS70173,2,1,1,1,15,3,0
A201201BS70175,1,1,1,1,25,3,0
A201201BS70176,2,1,1,2,29,3,0
A201201BS70177,2,1,1,2,26,3,0
A201201BS70179,2,1,2,1,39,3,1
A201201BS70180,1,1,1,1,48,3,0
A201201BS70180,2,2,2,2,52,3,1
A201201BS70181,2,1,1,2,37,3,0
A201201BS70183,1,1,1,2,41,3,0
A201201BS70184,2,1,1,1,25,3,0
A201201BS70185,2,1,1,2,68,3,0
A201201BS70192,2,1,1,1,55,3,0
A201201BS70194,1,1,1,1,28,3,0
A201201BS70196,1,1,1,1,26,3,0
A201201BS70197,1,1,1,1,26,3,0
A201201BS70200,1,1,1,1,24,3,0
A201201BS70201,2,1,1,1,31,3,0
A201201BS70202,1,1,1,1,29,3,0
A201201BS70203,2,1,1,2,21,3,0
